# Active universe: NIFTY 50 + NIFTY Next 50 + NIFTY Midcap 100
# Source: official NSE/Nifty Indices constituent CSV downloaded from niftyindices.com
# FYERS-tradable list excludes official dummy constituents that FYERS history rejects: NIFTYNEXT50:DUMMYVEDL1, NIFTYNEXT50:DUMMYVEDL2, NIFTYNEXT50:DUMMYVEDL3, NIFTYNEXT50:DUMMYVEDL4
# Columns: symbol,fyers_symbol,company,sector,basket,notes
symbol,fyers_symbol,company,sector,basket,notes
ETERNAL,NSE:ETERNAL-EQ,Eternal Ltd.,Consumer Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
GRASIM,NSE:GRASIM-EQ,Grasim Industries Ltd.,Construction Materials,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
HCLTECH,NSE:HCLTECH-EQ,HCL Technologies Ltd.,Information Technology,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
HDFCBANK,NSE:HDFCBANK-EQ,HDFC Bank Ltd.,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
HDFCLIFE,NSE:HDFCLIFE-EQ,HDFC Life Insurance Company Ltd.,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
HINDALCO,NSE:HINDALCO-EQ,Hindalco Industries Ltd.,Metals & Mining,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
HINDUNILVR,NSE:HINDUNILVR-EQ,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
ICICIBANK,NSE:ICICIBANK-EQ,ICICI Bank Ltd.,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
ITC,NSE:ITC-EQ,ITC Ltd.,Fast Moving Consumer Goods,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
INFY,NSE:INFY-EQ,Infosys Ltd.,Information Technology,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
INDIGO,NSE:INDIGO-EQ,InterGlobe Aviation Ltd.,Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
JSWSTEEL,NSE:JSWSTEEL-EQ,JSW Steel Ltd.,Metals & Mining,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
JIOFIN,NSE:JIOFIN-EQ,Jio Financial Services Ltd.,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
KOTAKBANK,NSE:KOTAKBANK-EQ,Kotak Mahindra Bank Ltd.,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
LT,NSE:LT-EQ,Larsen & Toubro Ltd.,Construction,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
M&M,NSE:M&M-EQ,Mahindra & Mahindra Ltd.,Automobile and Auto Components,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
MARUTI,NSE:MARUTI-EQ,Maruti Suzuki India Ltd.,Automobile and Auto Components,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
MAXHEALTH,NSE:MAXHEALTH-EQ,Max Healthcare Institute Ltd.,Healthcare,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
NTPC,NSE:NTPC-EQ,NTPC Ltd.,Power,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
NESTLEIND,NSE:NESTLEIND-EQ,Nestle India Ltd.,Fast Moving Consumer Goods,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
ONGC,NSE:ONGC-EQ,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
POWERGRID,NSE:POWERGRID-EQ,Power Grid Corporation of India Ltd.,Power,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
RELIANCE,NSE:RELIANCE-EQ,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
SBILIFE,NSE:SBILIFE-EQ,SBI Life Insurance Company Ltd.,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
SHRIRAMFIN,NSE:SHRIRAMFIN-EQ,Shriram Finance Ltd.,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
SBIN,NSE:SBIN-EQ,State Bank of India,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
SUNPHARMA,NSE:SUNPHARMA-EQ,Sun Pharmaceutical Industries Ltd.,Healthcare,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TCS,NSE:TCS-EQ,Tata Consultancy Services Ltd.,Information Technology,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TATACONSUM,NSE:TATACONSUM-EQ,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TMPV,NSE:TMPV-EQ,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TATASTEEL,NSE:TATASTEEL-EQ,Tata Steel Ltd.,Metals & Mining,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TECHM,NSE:TECHM-EQ,Tech Mahindra Ltd.,Information Technology,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TITAN,NSE:TITAN-EQ,Titan Company Ltd.,Consumer Durables,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
TRENT,NSE:TRENT-EQ,Trent Ltd.,Consumer Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
ULTRACEMCO,NSE:ULTRACEMCO-EQ,UltraTech Cement Ltd.,Construction Materials,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
WIPRO,NSE:WIPRO-EQ,Wipro Ltd.,Information Technology,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
ABB,NSE:ABB-EQ,ABB India Ltd.,Capital Goods,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
ADANIENSOL,NSE:ADANIENSOL-EQ,Adani Energy Solutions Ltd.,Power,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
ADANIGREEN,NSE:ADANIGREEN-EQ,Adani Green Energy Ltd.,Power,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
ADANIPOWER,NSE:ADANIPOWER-EQ,Adani Power Ltd.,Power,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
AMBUJACEM,NSE:AMBUJACEM-EQ,Ambuja Cements Ltd.,Construction Materials,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
DMART,NSE:DMART-EQ,Avenue Supermarts Ltd.,Consumer Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
BAJAJHLDNG,NSE:BAJAJHLDNG-EQ,Bajaj Holdings & Investment Ltd.,Financial Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
BANKBARODA,NSE:BANKBARODA-EQ,Bank of Baroda,Financial Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
BPCL,NSE:BPCL-EQ,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
BOSCHLTD,NSE:BOSCHLTD-EQ,Bosch Ltd.,Automobile and Auto Components,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
BRITANNIA,NSE:BRITANNIA-EQ,Britannia Industries Ltd.,Fast Moving Consumer Goods,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
CGPOWER,NSE:CGPOWER-EQ,CG Power and Industrial Solutions Ltd.,Capital Goods,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
CANBK,NSE:CANBK-EQ,Canara Bank,Financial Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
CHOLAFIN,NSE:CHOLAFIN-EQ,Cholamandalam Investment and Finance Company Ltd.,Financial Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
CUMMINSIND,NSE:CUMMINSIND-EQ,Cummins India Ltd.,Capital Goods,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
DLF,NSE:DLF-EQ,DLF Ltd.,Realty,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
DIVISLAB,NSE:DIVISLAB-EQ,Divi's Laboratories Ltd.,Healthcare,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
GAIL,NSE:GAIL-EQ,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
GODREJCP,NSE:GODREJCP-EQ,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
HDFCAMC,NSE:HDFCAMC-EQ,HDFC Asset Management Company Ltd.,Financial Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
HAL,NSE:HAL-EQ,Hindustan Aeronautics Ltd.,Capital Goods,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
HINDZINC,NSE:HINDZINC-EQ,Hindustan Zinc Ltd.,Metals & Mining,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
HYUNDAI,NSE:HYUNDAI-EQ,Hyundai Motor India Ltd.,Automobile and Auto Components,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
INDHOTEL,NSE:INDHOTEL-EQ,Indian Hotels Co. Ltd.,Consumer Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
IOC,NSE:IOC-EQ,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
IRFC,NSE:IRFC-EQ,Indian Railway Finance Corporation Ltd.,Financial Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
JINDALSTEL,NSE:JINDALSTEL-EQ,Jindal Steel Ltd.,Metals & Mining,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
LTM,NSE:LTM-EQ,LTM Ltd.,Information Technology,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
LODHA,NSE:LODHA-EQ,Lodha Developers Ltd.,Realty,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
MAZDOCK,NSE:MAZDOCK-EQ,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,Muthoot Finance Ltd.,Financial Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
PIDILITIND,NSE:PIDILITIND-EQ,Pidilite Industries Ltd.,Chemicals,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
PFC,NSE:PFC-EQ,Power Finance Corporation Ltd.,Financial Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
PNB,NSE:PNB-EQ,Punjab National Bank,Financial Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
RECLTD,NSE:RECLTD-EQ,REC Ltd.,Financial Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
MOTHERSON,NSE:MOTHERSON-EQ,Samvardhana Motherson International Ltd.,Automobile and Auto Components,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
SHREECEM,NSE:SHREECEM-EQ,Shree Cement Ltd.,Construction Materials,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
ENRIN,NSE:ENRIN-EQ,Siemens Energy India Ltd.,Capital Goods,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
SIEMENS,NSE:SIEMENS-EQ,Siemens Ltd.,Capital Goods,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
SOLARINDS,NSE:SOLARINDS-EQ,Solar Industries India Ltd.,Chemicals,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
TVSMOTOR,NSE:TVSMOTOR-EQ,TVS Motor Company Ltd.,Automobile and Auto Components,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
TATACAP,NSE:TATACAP-EQ,Tata Capital Ltd.,Financial Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
TMCV,NSE:TMCV-EQ,Tata Motors Ltd.,Capital Goods,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
TATAPOWER,NSE:TATAPOWER-EQ,Tata Power Co. Ltd.,Power,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
TORNTPHARM,NSE:TORNTPHARM-EQ,Torrent Pharmaceuticals Ltd.,Healthcare,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
UNIONBANK,NSE:UNIONBANK-EQ,Union Bank of India,Financial Services,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
UNITDSPR,NSE:UNITDSPR-EQ,United Spirits Ltd.,Fast Moving Consumer Goods,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
VBL,NSE:VBL-EQ,Varun Beverages Ltd.,Fast Moving Consumer Goods,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
VEDL,NSE:VEDL-EQ,Vedanta Ltd.,Metals & Mining,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
ZYDUSLIFE,NSE:ZYDUSLIFE-EQ,Zydus Lifesciences Ltd.,Healthcare,NIFTYNEXT50,Official NSE index constituent source=ind_niftynext50list.csv; FYERS-tradable universe excludes dummy constituents
360ONE,NSE:360ONE-EQ,360 ONE WAM Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
APLAPOLLO,NSE:APLAPOLLO-EQ,APL Apollo Tubes Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
AUBANK,NSE:AUBANK-EQ,AU Small Finance Bank Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
ATGL,NSE:ATGL-EQ,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
ABCAPITAL,NSE:ABCAPITAL-EQ,Aditya Birla Capital Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
ALKEM,NSE:ALKEM-EQ,Alkem Laboratories Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
ASHOKLEY,NSE:ASHOKLEY-EQ,Ashok Leyland Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
ASTRAL,NSE:ASTRAL-EQ,Astral Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
AUROPHARMA,NSE:AUROPHARMA-EQ,Aurobindo Pharma Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BSE,NSE:BSE-EQ,BSE Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BANKINDIA,NSE:BANKINDIA-EQ,Bank of India,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BDL,NSE:BDL-EQ,Bharat Dynamics Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BHARATFORG,NSE:BHARATFORG-EQ,Bharat Forge Ltd.,Automobile and Auto Components,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BHEL,NSE:BHEL-EQ,Bharat Heavy Electricals Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GROWW,NSE:GROWW-EQ,Billionbrains Garage Ventures Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BIOCON,NSE:BIOCON-EQ,Biocon Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BLUESTARCO,NSE:BLUESTARCO-EQ,Blue Star Ltd.,Consumer Durables,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
COCHINSHIP,NSE:COCHINSHIP-EQ,Cochin Shipyard Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
COFORGE,NSE:COFORGE-EQ,Coforge Ltd.,Information Technology,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
COLPAL,NSE:COLPAL-EQ,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
CONCOR,NSE:CONCOR-EQ,Container Corporation of India Ltd.,Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
COROMANDEL,NSE:COROMANDEL-EQ,Coromandel International Ltd.,Chemicals,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
DABUR,NSE:DABUR-EQ,Dabur India Ltd.,Fast Moving Consumer Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
DIXON,NSE:DIXON-EQ,Dixon Technologies (India) Ltd.,Consumer Durables,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
EXIDEIND,NSE:EXIDEIND-EQ,Exide Industries Ltd.,Automobile and Auto Components,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
NYKAA,NSE:NYKAA-EQ,FSN E-Commerce Ventures Ltd.,Consumer Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
FEDERALBNK,NSE:FEDERALBNK-EQ,Federal Bank Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
FORTIS,NSE:FORTIS-EQ,Fortis Healthcare Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GVT&D,NSE:GVT&D-EQ,GE Vernova T&D India Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GMRAIRPORT,NSE:GMRAIRPORT-EQ,GMR Airports Ltd.,Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GLENMARK,NSE:GLENMARK-EQ,Glenmark Pharmaceuticals Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GODFRYPHLP,NSE:GODFRYPHLP-EQ,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GODREJPROP,NSE:GODREJPROP-EQ,Godrej Properties Ltd.,Realty,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
HAVELLS,NSE:HAVELLS-EQ,Havells India Ltd.,Consumer Durables,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
HEROMOTOCO,NSE:HEROMOTOCO-EQ,Hero MotoCorp Ltd.,Automobile and Auto Components,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
HINDPETRO,NSE:HINDPETRO-EQ,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
POWERINDIA,NSE:POWERINDIA-EQ,Hitachi Energy India Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
